id,country,film,box_office
1,China,30 Days of Night: Dark Days,"€6820631,27"
2,Spain,What? (Che?),"€9179692,14"
3,Russia,"Defender, The (a.k.a. Bodyguard from Beijing, The) (Zhong Nan Hai bao biao)","€5641411,36"
4,Bosnia and Herzegovina,Girls on Top 2,"€5250623,80"
5,China,Serenity,"€9752497,34"
6,Portugal,Toy Story 2,"€5846297,24"
7,China,Final Fantasy: The Spirits Within,"€3963677,99"
8,Russia,Challenge of the Masters (Liu A-Cai yu Huang Fei-Hong),"€4267303,44"
9,Brazil,Sign 'o' the Times,"€1664449,44"
10,China,Dark Island,"€8329381,39"
11,Philippines,Fados,"€2550427,38"
12,Dominican Republic,Legion of the Dead,"€1084021,70"
13,United States,Maradona by Kusturica,"€2201789,21"
14,China,Clockwatchers,"€2071084,52"
15,Paraguay,Millie,"€3476235,77"
16,China,S.W.A.T.: Firefight,"€7852944,14"
17,China,Elektra,"€6903730,78"
18,Indonesia,Sealed Cargo,"€2785151,28"
19,Philippines,Istanbul,"€2888602,54"
20,Czech Republic,Adrenalin: Fear the Rush,"€5879782,98"
21,Poland,In This World,"€9068999,91"
22,Russia,Flawless,"€2723737,26"
23,Czech Republic,Friends of God: A Road Trip with Alexandra Pelosi,"€5626157,41"
24,Hungary,Marnie,"€9583168,40"
25,Croatia,Bossa Nova,"€9389349,67"
26,Indonesia,"Car 54, Where Are You?","€6470900,18"
27,Indonesia,Big Trouble,"€9317987,06"
28,Brazil,"Imposter, The","€8018243,92"
29,China,Near Dark,"€4570369,50"
30,Serbia,American Madness,"€9200588,25"
31,Vietnam,Gold of Rome (L'oro di Roma),"€8572499,87"
32,Brazil,All Things Fair (Lust och fägring stor),"€9931531,68"
33,Indonesia,Cantinflas,"€6699389,89"
34,Portugal,Dallas Buyers Club,"€1323415,69"
35,Portugal,Catwalk,"€4236869,90"
36,Slovenia,"Last Trapper, The (Le dernier trappeur)","€1953207,74"
37,China,Trans,"€9252814,77"
38,Argentina,Hawks and Sparrows (Uccellacci e Uccellini),"€1358235,97"
39,Germany,The Hire: Beat the Devil,"€7498677,35"
40,Malawi,Logan's Run,"€8154978,04"
41,Indonesia,Of Unknown Origin,"€4483619,49"
42,China,"Last Exorcism, The","€3514713,38"
43,Mauritius,Two Crimes (Dos crímenes),"€8308568,66"
44,Sweden,Griffin & Phoenix,"€2834444,65"
45,China,Born to Be Bad,"€7688395,12"
46,Indonesia,Girl in Progress,"€2817112,17"
47,China,Two of a Kind,"€5922915,96"
